match_set,season,match_date,round,hometeam,awayteam,location,judge_main,judge_sub,maxset,set_num,match_winner,set_winner,match_loser,set_loser,set_length,score_HT,score_AT,home_rot1,home_rot2,home_rot3,home_rot4,home_rot5,home_rot6,home_li1,home_li2,away_rot1,away_rot2,away_rot3,away_rot4,away_rot5,away_rot6,away_li1,away_li2
017_115_2,20202021,20210105,4R,EX,KG,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_115_3,20202021,20210105,4R,EX,KG,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_115_4,20202021,20210105,4R,EX,KG,김천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_119_1,20202021,20210108,4R,HK,HD,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_119_2,20202021,20210108,4R,HK,HD,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_119_3,20202021,20210108,4R,HK,HD,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_121_1,20202021,20210109,4R,IB,KG,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_121_2,20202021,20210109,4R,IB,KG,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_121_3,20202021,20210109,4R,IB,KG,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_123_1,20202021,20210110,4R,GS,EX,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_123_2,20202021,20210110,4R,GS,EX,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_123_3,20202021,20210110,4R,GS,EX,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_125_1,20202021,20210112,4R,HD,IB,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_125_2,20202021,20210112,4R,HD,IB,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_125_3,20202021,20210112,4R,HD,IB,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_125_4,20202021,20210112,4R,HD,IB,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_125_5,20202021,20210112,4R,HD,IB,수원,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_127_1,20202021,20210113,4R,EX,HK,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_127_2,20202021,20210113,4R,EX,HK,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_127_3,20202021,20210113,4R,EX,HK,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_127_4,20202021,20210113,4R,EX,HK,김천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_127_5,20202021,20210113,4R,EX,HK,김천,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_130_1,20202021,20210115,4R,KG,GS,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_130_2,20202021,20210115,4R,KG,GS,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_130_3,20202021,20210115,4R,KG,GS,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_130_4,20202021,20210115,4R,KG,GS,대전,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_132_1,20202021,20210116,4R,HD,EX,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_132_2,20202021,20210116,4R,HD,EX,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_132_3,20202021,20210116,4R,HD,EX,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_132_4,20202021,20210116,4R,HD,EX,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_134_1,20202021,20210117,4R,IB,HK,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_134_2,20202021,20210117,4R,IB,HK,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_134_3,20202021,20210117,4R,IB,HK,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_137_1,20202021,20210120,4R,KG,HK,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_137_2,20202021,20210120,4R,KG,HK,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_137_3,20202021,20210120,4R,KG,HK,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_140_1,20202021,20210122,4R,GS,HD,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_140_2,20202021,20210122,4R,GS,HD,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_140_3,20202021,20210122,4R,GS,HD,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_140_4,20202021,20210122,4R,GS,HD,서울,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_142_1,20202021,20210123,4R,EX,IB,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_142_2,20202021,20210123,4R,EX,IB,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_142_3,20202021,20210123,4R,EX,IB,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_144_1,20202021,20210126,4R,HK,GS,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_144_2,20202021,20210126,4R,HK,GS,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_144_3,20202021,20210126,4R,HK,GS,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_144_4,20202021,20210126,4R,HK,GS,인천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_146_1,20202021,20210127,5R,EX,HD,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_146_2,20202021,20210127,5R,EX,HD,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_146_3,20202021,20210127,5R,EX,HD,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_149_1,20202021,20210129,5R,GS,IB,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_149_2,20202021,20210129,5R,GS,IB,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_149_3,20202021,20210129,5R,GS,IB,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_149_4,20202021,20210129,5R,GS,IB,서울,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_149_5,20202021,20210129,5R,GS,IB,서울,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_151_1,20202021,20210130,5R,EX,KG,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_151_2,20202021,20210130,5R,EX,KG,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_151_3,20202021,20210130,5R,EX,KG,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_151_4,20202021,20210130,5R,EX,KG,김천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_151_5,20202021,20210130,5R,EX,KG,김천,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_153_1,20202021,20210131,5R,HD,HK,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_153_2,20202021,20210131,5R,HD,HK,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_153_3,20202021,20210131,5R,HD,HK,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_153_4,20202021,20210131,5R,HD,HK,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_153_5,20202021,20210131,5R,HD,HK,수원,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_156_1,20202021,20210203,5R,KG,IB,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_156_2,20202021,20210203,5R,KG,IB,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_156_3,20202021,20210203,5R,KG,IB,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_159_1,20202021,20210205,5R,HK,GS,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_159_2,20202021,20210205,5R,HK,GS,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_159_3,20202021,20210205,5R,HK,GS,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_161_1,20202021,20210206,5R,KG,HD,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_161_2,20202021,20210206,5R,KG,HD,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_161_3,20202021,20210206,5R,KG,HD,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_161_4,20202021,20210206,5R,KG,HD,대전,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_161_5,20202021,20210206,5R,KG,HD,대전,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_163_1,20202021,20210207,5R,IB,EX,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_163_2,20202021,20210207,5R,IB,EX,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_163_3,20202021,20210207,5R,IB,EX,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_163_4,20202021,20210207,5R,IB,EX,화성,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_163_5,20202021,20210207,5R,IB,EX,화성,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_165_1,20202021,20210209,5R,HD,GS,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_165_2,20202021,20210209,5R,HD,GS,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_165_3,20202021,20210209,5R,HD,GS,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_165_4,20202021,20210209,5R,HD,GS,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_165_5,20202021,20210209,5R,HD,GS,수원,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_168_1,20202021,20210211,5R,EX,HK,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_168_2,20202021,20210211,5R,EX,HK,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_168_3,20202021,20210211,5R,EX,HK,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_170_1,20202021,20210213,5R,IB,HD,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_170_2,20202021,20210213,5R,IB,HD,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_170_3,20202021,20210213,5R,IB,HD,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_170_4,20202021,20210213,5R,IB,HD,화성,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_172_1,20202021,20210214,5R,GS,KG,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_172_2,20202021,20210214,5R,GS,KG,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_172_3,20202021,20210214,5R,GS,KG,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_174_1,20202021,20210216,5R,HK,IB,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_174_2,20202021,20210216,5R,HK,IB,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_174_3,20202021,20210216,5R,HK,IB,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_176_1,20202021,20210217,5R,EX,GS,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_176_2,20202021,20210217,5R,EX,GS,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_176_3,20202021,20210217,5R,EX,GS,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_179_1,20202021,20210219,5R,HK,KG,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_179_2,20202021,20210219,5R,HK,KG,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_179_3,20202021,20210219,5R,HK,KG,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_179_4,20202021,20210219,5R,HK,KG,인천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_181_1,20202021,20210220,6R,HD,IB,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_181_2,20202021,20210220,6R,HD,IB,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_181_3,20202021,20210220,6R,HD,IB,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_181_4,20202021,20210220,6R,HD,IB,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_181_5,20202021,20210220,6R,HD,IB,수원,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_183_1,20202021,20210221,6R,GS,EX,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_183_2,20202021,20210221,6R,GS,EX,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_183_3,20202021,20210221,6R,GS,EX,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_183_4,20202021,20210221,6R,GS,EX,서울,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_183_5,20202021,20210221,6R,GS,EX,서울,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_184_1,20202021,20210224,6R,IB,HK,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_184_2,20202021,20210224,6R,IB,HK,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_184_3,20202021,20210224,6R,IB,HK,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_185_1,20202021,20210226,6R,HD,KG,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_185_2,20202021,20210226,6R,HD,KG,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_185_3,20202021,20210226,6R,HD,KG,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_185_4,20202021,20210226,6R,HD,KG,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_185_5,20202021,20210226,6R,HD,KG,수원,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_186_1,20202021,20210227,6R,EX,IB,김천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_186_2,20202021,20210227,6R,EX,IB,김천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_186_3,20202021,20210227,6R,EX,IB,김천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_186_4,20202021,20210227,6R,EX,IB,김천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_186_5,20202021,20210227,6R,EX,IB,김천,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_187_1,20202021,20210228,6R,GS,HK,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_187_2,20202021,20210228,6R,GS,HK,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_187_3,20202021,20210228,6R,GS,HK,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_187_4,20202021,20210228,6R,GS,HK,서울,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_188_1,20202021,20210303,6R,KG,EX,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_188_2,20202021,20210303,6R,KG,EX,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_188_3,20202021,20210303,6R,KG,EX,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_188_4,20202021,20210303,6R,KG,EX,대전,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_189_1,20202021,20210305,6R,GS,HD,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_189_2,20202021,20210305,6R,GS,HD,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_189_3,20202021,20210305,6R,GS,HD,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_189_4,20202021,20210305,6R,GS,HD,서울,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_189_5,20202021,20210305,6R,GS,HD,서울,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_190_1,20202021,20210306,6R,HK,EX,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_190_2,20202021,20210306,6R,HK,EX,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_190_3,20202021,20210306,6R,HK,EX,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_190_4,20202021,20210306,6R,HK,EX,인천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_191_1,20202021,20210307,6R,IB,KG,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_191_2,20202021,20210307,6R,IB,KG,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_191_3,20202021,20210307,6R,IB,KG,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_191_4,20202021,20210307,6R,IB,KG,화성,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_191_5,20202021,20210307,6R,IB,KG,화성,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_192_1,20202021,20210309,6R,HK,HD,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_192_2,20202021,20210309,6R,HK,HD,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_192_3,20202021,20210309,6R,HK,HD,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_192_4,20202021,20210309,6R,HK,HD,인천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_194_1,20202021,20210312,6R,GS,IB,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_194_2,20202021,20210312,6R,GS,IB,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_194_3,20202021,20210312,6R,GS,IB,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_196_1,20202021,20210313,6R,KG,HK,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_196_2,20202021,20210313,6R,KG,HK,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_196_3,20202021,20210313,6R,KG,HK,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_198_1,20202021,20210314,6R,HD,EX,수원,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_198_2,20202021,20210314,6R,HD,EX,수원,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_198_3,20202021,20210314,6R,HD,EX,수원,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_198_4,20202021,20210314,6R,HD,EX,수원,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_198_5,20202021,20210314,6R,HD,EX,수원,,,,5,,,,,,,,,,,,,,,,,,,,,,,
017_200_1,20202021,20210316,6R,KG,GS,대전,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_200_2,20202021,20210316,6R,KG,GS,대전,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_200_3,20202021,20210316,6R,KG,GS,대전,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_200_4,20202021,20210316,6R,KG,GS,대전,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_218_1,20202021,20210320,PO,HK,IB,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_218_2,20202021,20210320,PO,HK,IB,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_218_3,20202021,20210320,PO,HK,IB,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_218_4,20202021,20210320,PO,HK,IB,인천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_220_1,20202021,20210322,PO,IB,HK,화성,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_220_2,20202021,20210322,PO,IB,HK,화성,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_220_3,20202021,20210322,PO,IB,HK,화성,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_220_4,20202021,20210322,PO,IB,HK,화성,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_222_1,20202021,20210324,PO,HK,IB,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_222_2,20202021,20210324,PO,HK,IB,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_222_3,20202021,20210324,PO,HK,IB,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_224_1,20202021,20210326,CS,GS,HK,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_224_2,20202021,20210326,CS,GS,HK,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_224_3,20202021,20210326,CS,GS,HK,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_226_1,20202021,20210328,CS,GS,HK,서울,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_226_2,20202021,20210328,CS,GS,HK,서울,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_226_3,20202021,20210328,CS,GS,HK,서울,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_228_1,20202021,20210330,CS,HK,GS,인천,,,,1,,,,,,,,,,,,,,,,,,,,,,,
017_228_2,20202021,20210330,CS,HK,GS,인천,,,,2,,,,,,,,,,,,,,,,,,,,,,,
017_228_3,20202021,20210330,CS,HK,GS,인천,,,,3,,,,,,,,,,,,,,,,,,,,,,,
017_228_4,20202021,20210330,CS,HK,GS,인천,,,,4,,,,,,,,,,,,,,,,,,,,,,,
017_228_5,20202021,20210330,CS,HK,GS,인천,,,,5,,,,,,,,,,,,,,,,,,,,,,,
